,acb,acd,ajb,ajd,ak,alm,angk,anm,bcc,bd,bdb,cb,ccb,ccd,cd,ch,cjb,db,df,dfsp,ha,isl,jb,jd,ks,la,lk,lm,lmm,ls,mcb,mel,mpd,pg,rd,sa,scc,sk,sl,srjd
acb,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
acd,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ajb,7,5,71,22,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
ajd,9,1,20,22,0,3,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,4,0,0,3,0,0,0,2,3,0,0,1,2,0,0,0,0,1
ak,0,0,0,0,7,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
alm,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
angk,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anm,0,0,1,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bcc,0,0,0,0,2,4,7,2,31,3,1,0,0,1,0,1,2,4,5,0,2,0,0,0,3,0,4,0,1,0,5,4,3,0,0,4,22,1,0,0
bd,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
bdb,0,1,1,0,0,3,3,0,0,0,21,0,0,2,0,0,0,1,3,0,4,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1
cb,6,0,1,3,0,0,4,0,1,1,10,37,1,3,15,1,2,23,8,0,10,1,9,8,1,3,6,2,2,6,8,2,2,0,0,2,1,3,4,6
ccb,1,0,0,0,0,13,2,1,0,0,1,2,19,7,4,0,18,4,1,0,0,0,4,0,0,0,2,5,7,0,6,2,0,0,2,0,0,0,8,3
ccd,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
cd,5,0,0,3,0,3,1,0,0,3,5,12,0,13,21,2,1,2,6,0,7,0,13,9,0,3,1,0,5,5,4,1,2,0,0,1,1,0,0,3
ch,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cjb,0,0,1,1,1,1,0,1,0,1,0,2,1,1,1,0,20,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0
db,1,0,1,0,1,0,9,1,7,0,4,4,0,0,1,4,0,77,9,0,6,0,0,0,2,1,1,0,2,3,5,2,1,1,0,1,2,0,3,0
df,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
dfsp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ha,1,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,2,0,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,2,0
isl,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jb,11,0,6,13,5,1,6,0,0,1,27,7,2,5,18,1,2,8,20,0,27,0,65,31,1,3,0,0,2,20,25,1,0,1,0,2,1,2,8,5
jd,29,3,10,35,6,19,16,1,8,13,72,54,3,36,103,2,19,32,74,0,82,1,180,260,0,21,3,8,10,97,76,4,5,1,3,16,1,7,65,29
ks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lm,0,0,0,0,1,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0
lmm,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
mcb,3,0,3,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,3,0,2,2,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0
mel,0,1,0,0,1,4,2,2,4,1,1,0,0,0,1,1,0,1,3,0,0,0,0,1,0,0,0,2,1,0,0,12,0,0,1,0,1,0,1,0
mpd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
pg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rd,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
scc,0,0,0,0,2,2,1,10,10,2,0,0,0,1,0,0,0,3,2,0,1,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,31,0,0,0
sk,3,1,2,3,8,1,9,2,7,1,6,4,0,2,1,2,4,12,8,0,7,0,1,1,0,1,4,0,5,9,3,11,1,0,5,2,7,22,6,1
sl,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,4,0
