,acb,acd,ajb,ajd,ak,alm,angk,anm,bcc,bd,bdb,cb,ccb,ccd,cd,ch,cjb,db,df,dfsp,ha,isl,jb,jd,ks,la,lk,lm,lmm,ls,mcb,mel,mpd,pg,rd,sa,scc,sk,sl,srjd
acb,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
acd,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajb,15,0,0,0,4,1,1,0,2,0,0,5,12,0,0,0,4,25,3,2,1,0,0,1,0,0,6,2,0,2,3,0,20,2,1,1,0,0,0,0
ajd,10,0,0,0,2,3,2,0,0,0,1,4,7,1,0,0,4,18,0,2,1,2,0,0,0,0,4,0,0,2,2,4,5,1,1,0,0,0,0,1
ak,2,2,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
alm,1,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
angk,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anm,4,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0
bcc,3,3,1,0,5,5,1,1,7,3,0,2,2,9,0,1,3,14,7,1,6,2,0,0,1,2,2,4,0,4,2,12,7,1,1,0,0,1,0,0
bd,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
bdb,0,1,0,1,2,1,3,0,7,1,0,0,2,1,0,0,0,9,0,2,1,6,1,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0
cb,7,13,1,0,3,8,6,1,4,1,0,3,14,4,0,3,6,15,2,11,6,31,1,1,1,3,6,3,1,6,4,2,11,6,1,2,0,0,2,3
ccb,4,4,1,0,6,4,1,0,9,1,0,1,7,4,0,1,5,8,8,8,7,7,0,0,2,3,0,0,1,0,3,1,6,2,1,0,1,1,4,1
ccd,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd,7,1,0,2,6,2,6,0,3,3,1,1,6,6,3,0,7,7,6,9,6,9,2,8,2,4,6,1,0,1,6,0,1,2,3,2,0,2,0,1
ch,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
