,acb,acd,ajb,ajd,ak,alm,angk,anm,bcc,bd,bdb,cb,ccb,ccd,cd,ch,cjb,db,df,dfsp,ha,isl,jb,jd,ks,la,lk,lm,lmm,ls,mcb,mel,mpd,pg,rd,sa,scc,sk,sl,srjd
acb,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acd,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajb,23,0,0,0,4,2,1,0,0,1,2,2,7,1,1,0,1,15,0,0,1,0,0,0,0,3,0,1,1,9,3,6,23,2,1,0,0,0,0,3
ajd,10,0,0,0,2,2,2,4,0,2,2,2,5,1,1,0,1,9,0,1,1,0,0,0,0,2,0,0,1,6,2,4,11,0,2,0,0,0,0,4
ak,1,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0
alm,1,1,0,0,0,0,4,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0
angk,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
anm,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
bcc,10,6,0,0,2,4,3,7,1,6,0,4,0,6,1,0,1,10,6,0,5,2,0,0,0,5,1,12,3,4,1,12,1,0,0,0,0,0,0,0
bd,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
bdb,0,0,0,0,3,6,3,0,1,2,0,0,2,0,1,1,0,10,0,2,4,1,0,0,0,2,0,2,1,0,0,1,1,1,0,0,0,0,0,0
cb,13,4,0,0,5,10,13,6,2,5,2,1,9,1,0,3,3,28,1,12,4,10,1,0,2,6,0,7,3,9,4,8,6,5,3,0,1,0,1,4
ccb,9,1,3,1,17,4,5,3,2,2,1,0,1,1,0,1,2,10,2,10,5,3,0,0,2,4,0,1,0,0,3,7,2,2,1,2,0,0,5,0
