,acb,acd,ajb,ajd,ak,alm,angk,anm,bcc,bd,bdb,cb,ccb,ccd,cd,ch,cjb,db,df,dfsp,ha,isl,jb,jd,ks,la,lk,lm,lmm,ls,mcb,mel,mpd,pg,rd,sa,scc,sk,sl,srjd
acb,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
acd,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajb,6,4,53,26,0,5,0,3,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,0,2,0,0,0,0
ajd,9,4,13,15,1,1,5,0,0,1,0,0,0,0,3,0,1,0,2,0,1,1,4,1,0,0,0,0,0,0,10,1,1,0,0,2,0,1,0,0
ak,0,0,0,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0
alm,0,0,0,0,0,12,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
angk,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anm,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bcc,2,5,1,0,4,4,11,9,25,4,0,1,0,1,0,0,0,0,5,1,5,0,0,0,0,1,1,1,3,1,7,8,1,0,0,0,10,2,0,0
bd,0,0,0,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bdb,0,0,0,0,0,4,7,0,0,2,4,1,0,0,0,0,0,1,4,0,5,0,1,0,0,0,0,0,2,0,7,0,0,0,0,0,0,2,3,1
cb,3,1,5,1,4,3,22,2,2,4,1,22,0,1,10,0,1,5,19,1,17,0,7,11,1,2,2,0,5,2,22,1,3,0,0,5,1,3,2,1
ccb,4,3,1,1,8,14,5,3,5,4,1,1,10,4,5,1,4,1,1,0,3,0,0,1,1,2,1,6,3,1,9,1,0,0,1,2,0,0,5,0
ccd,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0
cd,3,1,1,8,1,3,11,0,1,0,1,6,1,0,20,1,3,0,9,1,5,1,9,14,0,3,1,4,5,0,8,0,0,0,1,5,0,0,3,2
ch,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cjb,1,0,1,0,3,3,1,2,0,1,0,2,1,0,0,0,8,1,1,0,0,0,0,0,0,1,0,1,3,0,7,0,0,0,0,0,0,0,1,0
db,1,1,0,0,5,0,22,3,5,0,3,9,0,1,1,1,1,38,9,1,16,0,1,0,3,2,1,0,2,3,6,1,3,2,0,0,3,4,0,0
df,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,24,0,2,2,1,1,0,0,1,0,2,0,4,0,1,0,0,0,0,0,2,0
dfsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ha,1,0,0,0,3,0,3,0,0,2,0,0,0,0,1,0,0,0,1,0,24,0,1,0,0,1,0,0,1,3,0,0,3,0,0,1,0,0,0,0
isl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jb,8,0,5,11,18,1,22,0,0,2,4,10,0,0,15,1,1,4,26,1,29,2,24,41,0,4,3,0,1,5,63,0,2,0,0,13,0,6,4,1
jd,25,1,20,35,34,13,81,4,6,15,11,38,3,8,57,2,8,7,92,10,149,2,120,299,2,5,8,24,28,20,150,13,10,3,2,30,1,16,43,9
ks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0
la,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0
lk,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
