metric,mean,std,min,max
accuracy,0.5197768458135336,0.007306120185070873,0.5126254943717675,0.5272284758138119
precision_macro,0.5929388102193783,0.03653238486593413,0.5581228852466685,0.6309745130137193
recall_macro_sensitivity,0.5115441910912076,0.009884686229814199,0.5001693791794208,0.518048458320809
f1_macro,0.5321951222544262,0.004165403257922304,0.5275544408127212,0.5356102876729223
specificity_macro,0.9857478311972375,0.00024413948824566977,0.9855078058750266,0.9859958867154027
fpr_macro,0.014252168802762406,0.00024413948824573642,0.014004113284597195,0.01449219412497343
iou_macro,0.4044825155704033,0.0063235525540987604,0.39722461818790666,0.40880393165677537
ppv_macro,0.5929388102193783,0.03653238486593413,0.5581228852466685,0.6309745130137193
roc_auc_macro_ovr,0.9251462605890529,0.009370886184359557,0.918759818528564,0.9359041049566642
pr_auc_macro,0.5271097846902327,0.009585302686730541,0.5166853659598221,0.5355432745766037
