,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,0,76,24,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,3,18,27,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0
4,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
5,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,0,0,0,1,3,1,0,2,42,1,2,1,3,0,0,0,0,6,3,1,1,0,2,0,3,0,1,1,1,0,1,1,0,0,0,1,33,1,0,0
9,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
10,1,0,0,0,1,0,0,0,0,0,25,0,1,0,1,0,0,6,2,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
11,1,0,0,3,0,0,1,0,2,0,2,49,6,0,15,2,2,33,0,0,1,0,26,20,0,0,0,1,0,4,11,2,0,0,0,0,2,8,1,0
12,1,0,0,0,1,4,0,3,0,0,2,0,55,4,5,0,17,1,1,0,0,0,1,0,0,0,0,0,2,0,4,2,0,0,0,0,2,3,1,3
