metric,mean,std,min,max
accuracy,0.393306923633515,0.006627100251929101,0.38637055065409187,0.3995739500912964
precision_macro,0.3859935868842633,0.03029668388552089,0.3547882924888315,0.41529153457996043
recall_macro,0.5357138526654529,0.02224419043534673,0.5101228379478331,0.5504143488472993
f1_macro,0.42456298381621166,0.027892032511014183,0.39303715661617683,0.44603178403538235
specificity_macro,0.9835028476511604,0.00020051255462184242,0.983282880793056,0.9836754107938805
fpr_macro,0.016497152348839726,0.00020051255462174233,0.016324589206119584,0.01671711920694388
iou_macro,0.29823659547746323,0.027239893849685677,0.26688905781942446,0.3161488300814107
ppv_macro,0.3859935868842633,0.03029668388552089,0.3547882924888315,0.41529153457996043
roc_auc_macro_ovr,0.922545159320619,0.012975275758861902,0.9094889135200663,0.9354379200908116
pr_auc_macro,0.514390060080554,0.026508023254971546,0.4839937155844659,0.532706240962721
