metric,n_folds,mean,sd,ci95_lower_t,ci95_upper_t
accuracy,3,0.5197768458135336,0.007306120185070873,0.5016274371352187,0.5379262544918484
precision_macro,3,0.5929388102193783,0.03653238486593413,0.5021873352737343,0.6836902851650224
recall_macro_sensitivity,3,0.5115441910912076,0.009884686229814199,0.486989269258907,0.5360991129235083
f1_macro,3,0.5321951222544262,0.004165403257922304,0.5218476869367737,0.5425425575720787
specificity_macro,3,0.9857478311972376,0.00024413948824572614,0.985141355087559,0.9863543073069163
fpr_macro,3,0.014252168802762333,0.00024413948824576808,0.013645692693083595,0.014858644912441071
iou_macro,3,0.4044825155704033,0.0063235525540987604,0.38877394019853145,0.4201910909422752
ppv_macro,3,0.5929388102193783,0.03653238486593413,0.5021873352737343,0.6836902851650224
roc_auc_macro_ovr,3,0.9251462605890529,0.009370886184359557,0.9018676888259651,0.9484248323521407
pr_auc_macro,3,0.5271097846902327,0.009585302686730541,0.5032985728075836,0.5509209965728818
