metric,n_folds_x,mean,sd,ci95_lower_t,ci95_upper_t,n_oof_samples,bootstrap_replicates,bootstrap_mean,ci95_lower_percentile,ci95_upper_percentile,shapiro_W,p_value,n_folds_y
accuracy,3,0.5197768458135336,0.007306120185070873,0.5016274371352187,0.5379262544918484,9860.0,2000.0,0.5197216531440163,0.5101419878296146,0.5293128803245436,0.9987331176547385,0.9320074604844382,3
f1_macro,3,0.5321951222544262,0.004165403257922304,0.5218476869367737,0.5425425575720787,9860.0,2000.0,0.5355561121498486,0.5044564133949571,0.5644379265966983,0.9350790081297334,0.5079501200045924,3
fpr_macro,3,0.014252168802762333,0.00024413948824576808,0.013645692693083595,0.014858644912441071,9860.0,2000.0,0.014254300634777622,0.013961052825818183,0.014555552113282093,0.9991885953543929,0.9455899817547241,3
iou_macro,3,0.4044825155704033,0.0063235525540987604,0.38877394019853145,0.4201910909422752,9860.0,2000.0,0.4021921157810325,0.3697032088440833,0.4331371329402606,0.8382689236859405,0.20956145068711285,3
ppv_macro,3,0.5929388102193783,0.03653238486593413,0.5021873352737343,0.6836902851650224,9860.0,2000.0,0.5955160248709165,0.5546352030742251,0.6251951673366541,0.9941741805115141,0.8540841463448692,3
pr_auc_macro,3,0.5271097846902327,0.009585302686730541,0.5032985728075836,0.5509209965728818,,,,,,0.9676435343215424,0.6545762077911308,3
precision_macro,3,0.5929388102193783,0.03653238486593413,0.5021873352737343,0.6836902851650224,9860.0,2000.0,0.5955160248709165,0.5546352030742251,0.6251951673366541,0.9941741805115141,0.8540841463448692,3
recall_macro_sensitivity,3,0.5115441910912076,0.009884686229814199,0.486989269258907,0.5360991129235083,9860.0,2000.0,0.5105028153625136,0.47891955038691325,0.5418756253269363,0.8179081320171279,0.15800919280724202,3
roc_auc_macro_ovr,3,0.9251462605890529,0.009370886184359557,0.9018676888259651,0.9484248323521407,,,,,,0.8367919817349199,0.2057380524248582,3
specificity_macro,3,0.9857478311972376,0.00024413948824572614,0.985141355087559,0.9863543073069163,9860.0,2000.0,0.9857456993652224,0.985444447886718,0.9860389471741818,0.999188595354388,0.9455899817545603,3
